,Id,Inactive,Calories,Distance,Avg_speed,Max_speed,Min_speed,Step_count,Weight,Height,Move_m_count,Walk,bmi,bmi_cdn
154,U006,64568985,1823.786926,8171.15162,1.325769138,19.10567093,0.10059756,12833,51,160.2,171,Normal,19.921875,Normal
155,U006,65555684,1573.613843,3109.666367,0.420346505,1.177856922,0.269038439,5643,51,160.2,74,Below Normal,19.921875,Normal
156,U006,77917957,1463.230678,1823.88574,1.021211527,9.318531036,0.225005671,3142,51,160.2,40,Ver Low,19.921875,Normal
157,U006,76180494,1584.205991,3892.561536,0.698601829,1.567833424,0.259074032,6780,51,160.2,88,Below Normal,19.921875,Normal
158,U006,76312592,1598.957584,4554.023468,0.515348712,1.534602046,0.047285557,7714,51,160.2,102,Below Normal,19.921875,Normal
159,U006,73868030,1680.591815,6312.618607,0.526225387,7.183359623,0.259074032,10099,51,160.2,133,Normal,19.921875,Normal
160,U006,77028675,1595.290429,4433.886987,0.551270525,2.802303076,0.259074032,7425,51,160.2,90,Below Normal,19.921875,Normal
161,U006,71653507,1500.002385,2418.419207,0.909235504,16.74695015,0.07797309,3839,51,160.2,56,Ver Low,19.921875,Normal
162,U006,77280242,1591.15371,4922.375556,1.087029037,18,0.269038439,7884,51,160.2,106,Below Normal,19.921875,Normal
163,U006,76027802,1588.998863,5060.801648,1.102404523,4.0096488,0.144952819,6924,51,160.2,86,Normal,19.921875,Normal
164,U006,81022518,1489.489303,3478.231856,0.489080425,2.207773685,0.259074032,5692,51,160.2,61,Below Normal,19.921875,Normal
165,U006,83448327,1413.475093,2161.552313,0.666199652,2.236261606,0.259074032,3525,51,160.2,36,Ver Low,19.921875,Normal
166,U006,81411154,1515.730674,4105.416902,0.837143848,1.495912194,0.298931569,6623,51,160.2,76,Below Normal,19.921875,Normal
167,U006,85099585,1355.694569,191.4671373,0.368316224,1.079364061,0.298931569,456,51,160.2,5,Ver Low,19.921875,Normal
168,U006,81499531,1448.285637,1625.389211,0.391201732,1.30056715,0.298931569,2831,51,160.2,33,Ver Low,19.921875,Normal
169,U006,66902722,1798.833933,6559.640615,0.635099039,3.567181587,0.052965552,11156,51,160.2,148,Normal,19.921875,Normal
170,U006,72156247,1688.781371,5197.080925,0.441222343,1.81672132,0.037262063,8969,51,160.2,110,Normal,19.921875,Normal
171,U006,75987837,1617.168123,4585.646047,0.563222337,6.384942055,0.193145484,7684,51,160.2,119,Below Normal,19.921875,Normal
172,U006,55473106,1388.49619,626.1080282,3.838635004,29.42779732,0,1158,51,160.2,15,Ver Low,19.921875,Normal
173,U006,81090091,1413.501503,1587.900641,0.996770918,18.0051403,0.061459322,2183,51,160.2,27,Ver Low,19.921875,Normal
174,U006,79070523,1438.964897,1796.552992,0.547307662,8.711369514,0.095507413,3007,51,160.2,37,Ver Low,19.921875,Normal
175,U006,55845192,1562.488365,3490.34832,0.882416489,17.60689163,0.033767965,5928,51,160.2,84,Below Normal,19.921875,Normal
